Reporter,Partner,Year,Export_Value_USD_Scaled
USA,CHN,2015,1.0956811406418134
USA,CHN,2016,1.0932820747154157
USA,CHN,2017,1.1716944285833735
USA,CHN,2018,1.1191228323693005
USA,CHN,2019,1.036649591644951
USA,CHN,2020,1.1428960832516488
USA,CHN,2021,1.2749845323883087
USA,CHN,2022,1.2864182724750546
USA,CHN,2023,1.2585809780658226
USA,DEU,2015,0.5243292358393938
USA,DEU,2016,0.5163603945421071
USA,DEU,2017,0.5767028275063696
USA,DEU,2018,0.6226634096347211
USA,DEU,2019,0.6529812755629152
USA,DEU,2020,0.6255163449217002
USA,DEU,2021,0.7058092572396404
USA,DEU,2022,0.7770114569879891
USA,DEU,2023,0.8146186905613151
USA,MEX,2015,1.5763436237180426
USA,MEX,2016,1.5606501623716933
USA,MEX,2017,1.596737830055888
USA,MEX,2018,1.656165747517514
USA,MEX,2019,1.6321002543409178
USA,MEX,2020,1.5043173009612163
USA,MEX,2021,1.6838601148756285
USA,MEX,2022,1.7903834488538994
USA,MEX,2023,1.7881225773132061
USA,CAN,2015,1.6910008982486275
USA,CAN,2016,1.656146990279201
USA,CAN,2017,1.6976320654879629
USA,CAN,2018,1.7370471503464964
USA,CAN,2019,1.7212590137872372
USA,CAN,2020,1.630875133088961
USA,CAN,2021,1.7589786050148557
USA,CAN,2022,1.8543396680087072
USA,CAN,2023,1.8482025895895031
USA,RUS,2015,-0.7972190517579965
USA,RUS,2016,-0.9331021673913973
USA,RUS,2017,-0.8052636327997009
USA,RUS,2018,-0.8394372644049779
USA,RUS,2019,-0.9342855440679336
USA,RUS,2020,-1.0484397622634822
USA,RUS,2021,-0.8676750064615784
USA,RUS,2022,-1.778345224134668
USA,RUS,2023,-2.47126110321447
USA,JPN,2015,0.6757624769098016
USA,JPN,2016,0.6842929446049268
USA,JPN,2017,0.7291877987153114
USA,JPN,2018,0.8009328681202857
USA,JPN,2019,0.794744801289192
USA,JPN,2020,0.6924385045471885
USA,JPN,2021,0.79706906372662
USA,JPN,2022,0.8446582985537979
USA,JPN,2023,0.8098895519952353
CHN,DEU,2015,0.7450214011012849
CHN,DEU,2016,0.7133955112491914
CHN,DEU,2017,0.7667709280582499
CHN,DEU,2018,0.8273399864991554
CHN,DEU,2019,0.8406430191479487
CHN,DEU,2020,0.8998834091921818
CHN,DEU,2021,1.0903064851101318
CHN,DEU,2022,1.095831116273802
CHN,DEU,2023,1.0015346329213872
CHN,MEX,2015,0.26025352993667134
CHN,MEX,2016,0.23455660345404844
CHN,MEX,2017,0.3031325965074394
CHN,MEX,2018,0.4413596796526122
CHN,MEX,2019,0.47415878449051374
CHN,MEX,2020,0.45202881061514916
CHN,MEX,2021,0.7277611422038456
CHN,MEX,2022,0.821294344571185
CHN,MEX,2023,0.8587364804289577
CHN,CAN,2015,0.16583192535196506
CHN,CAN,2016,0.12913067174126783
CHN,CAN,2017,0.21803784994751327
CHN,CAN,2018,0.2963136924713626
CHN,CAN,2019,0.31811010046091437
CHN,CAN,2020,0.4090899723740283
CHN,CAN,2021,0.5459512684039739
CHN,CAN,2022,0.5739338347676196
CHN,CAN,2023,0.46162301530979805
CHN,RUS,2015,0.27998625580645253
CHN,RUS,2016,0.3338952161820895
CHN,RUS,2017,0.42801715339647667
CHN,RUS,2018,0.4984625617566382
CHN,RUS,2019,0.5180385971467003
CHN,RUS,2020,0.5332365044660728
CHN,RUS,2021,0.7291120133577219
CHN,RUS,2022,0.8107743439337686
CHN,RUS,2023,1.0674668045031201
CHN,USA,2015,1.9503479677593278
CHN,USA,2016,1.9147160254293962
CHN,USA,2017,1.987158528092183
CHN,USA,2018,2.056705159117493
CHN,USA,2019,1.9630803211759207
CHN,USA,2020,2.016303529505528
CHN,USA,2021,2.181043639897382
CHN,USA,2022,2.1867635322828733
CHN,USA,2023,2.092744875203415
CHN,JPN,2015,1.2017323432193079
CHN,JPN,2016,1.1697145036610264
CHN,JPN,2017,1.209809090252953
CHN,JPN,2018,1.2574764678617498
CHN,JPN,2019,1.237270634633559
CHN,JPN,2020,1.234894306885297
CHN,JPN,2021,1.3367470113485014
CHN,JPN,2022,1.3654759468377413
CHN,JPN,2023,1.304103797519172
DEU,CHN,2015,0.8408497947165378
DEU,CHN,2016,0.8845553348771034
DEU,CHN,2017,0.9853348308875948
DEU,CHN,2018,1.0620132756086473
DEU,CHN,2019,1.0446227534873693
DEU,CHN,2020,1.0609433976965983
DEU,CHN,2021,1.1381744623226162
DEU,CHN,2022,1.0743192463500395
DEU,CHN,2023,1.0289507580622232
DEU,MEX,2015,-0.42502908866965416
DEU,MEX,2016,-0.422881477754987
DEU,MEX,2017,-0.30532158798402287
DEU,MEX,2018,-0.22499673166265882
DEU,MEX,2019,-0.27096035417801395
DEU,MEX,2020,-0.3868379429949654
DEU,MEX,2021,-0.26175282854996196
DEU,MEX,2022,-0.20101607610655184
DEU,MEX,2023,-0.07832514721448015
DEU,CAN,2015,-0.4942803262889607
DEU,CAN,2016,-0.5268363092329208
DEU,CAN,2017,-0.49489499216643884
DEU,CAN,2018,-0.43362884901919263
DEU,CAN,2019,-0.4327469134225224
DEU,CAN,2020,-0.5204483582813084
DEU,CAN,2021,-0.4466634752899068
DEU,CAN,2022,-0.3678434973980135
DEU,CAN,2023,-0.3485897034774275
DEU,RUS,2015,0.029037977384589984
DEU,RUS,2016,0.02401320853166948
DEU,RUS,2017,0.1604382374214912
DEU,RUS,2018,0.19393827456449222
DEU,RUS,2019,0.17606555365766713
DEU,RUS,2020,0.09493056750991075
DEU,RUS,2021,0.21529157693655337
DEU,RUS,2022,-0.26877612147611246
DEU,RUS,2023,-0.5904352890187557
DEU,USA,2015,1.1555804089237602
DEU,USA,2016,1.1092361832502948
DEU,USA,2017,1.1566797328248966
DEU,USA,2018,1.1986886295082664
DEU,USA,2019,1.1905348347251103
DEU,USA,2020,1.1100962649134922
DEU,USA,2021,1.2451345221542265
DEU,USA,2022,1.3275769832186144
DEU,USA,2023,1.3553946880845076
DEU,JPN,2015,-0.12435286400595191
DEU,JPN,2016,-0.0787455071578357
DEU,JPN,2017,-0.013564408259953364
DEU,JPN,2018,0.044096414600164
DEU,JPN,2019,0.013611931818149792
DEU,JPN,2020,-0.0897780850021331
DEU,JPN,2021,-0.03372014739084546
DEU,JPN,2022,-0.04341813640368866
DEU,JPN,2023,-0.03470053012369764
JPN,CHN,2015,1.0538103011296525
JPN,CHN,2016,1.082095539252862
JPN,CHN,2017,1.1862174009558901
JPN,CHN,2018,1.2409194048682204
JPN,CHN,2019,1.1957944491144277
JPN,CHN,2020,1.224486883789328
JPN,CHN,2021,1.3272857881614646
JPN,CHN,2022,1.2438264294714356
JPN,CHN,2023,1.1511974254648283
JPN,DEU,2015,-0.23621274183085017
JPN,DEU,2016,-0.1794969741736582
JPN,DEU,2017,-0.13168988720978983
JPN,DEU,2018,-0.06549135000192693
JPN,DEU,2019,-0.08734029067908816
JPN,DEU,2020,-0.18921643505072658
JPN,DEU,2021,-0.07015896382341681
JPN,DEU,2022,-0.11024075547778872
JPN,DEU,2023,-0.11813938648858217
JPN,MEX,2015,-0.5329462727847429
JPN,MEX,2016,-0.5195021415640592
JPN,MEX,2017,-0.4831632598396452
JPN,MEX,2018,-0.46308317298490514
JPN,MEX,2019,-0.5223732293103913
JPN,MEX,2020,-0.6847541879975154
JPN,MEX,2021,-0.510098192781476
JPN,MEX,2022,-0.5055060973412765
JPN,MEX,2023,-0.38206545813620546
JPN,CAN,2015,-0.7374846778817232
JPN,CAN,2016,-0.7002298446152393
JPN,CAN,2017,-0.5919990195163477
JPN,CAN,2018,-0.6094893517732339
JPN,CAN,2019,-0.6452653665497723
JPN,CAN,2020,-0.7842016798102184
JPN,CAN,2021,-0.6842772011181893
JPN,CAN,2022,-0.6637880638893189
JPN,CAN,2023,-0.5057511250982324
JPN,RUS,2015,-1.0180654806350706
JPN,RUS,2016,-1.016974840953556
JPN,RUS,2017,-0.9085299233948878
JPN,RUS,2018,-0.777009409396877
JPN,RUS,2019,-0.7889861744013773
JPN,RUS,2020,-0.9264262853887643
JPN,RUS,2021,-0.728555966398301
JPN,RUS,2022,-1.0787315727775924
JPN,RUS,2023,-1.4134131377935915
JPN,USA,2015,1.152553658857172
JPN,USA,2016,1.1739365120103367
JPN,USA,2017,1.1976288200402625
JPN,USA,2018,1.2248381416490315
JPN,USA,2019,1.223763050834198
JPN,USA,2020,1.1078399345939778
JPN,USA,2021,1.2011222361965403
JPN,USA,2022,1.2191159667545777
JPN,USA,2023,1.244489768065738
GBR,CHN,2015,0.11860664517514234
GBR,CHN,2016,-0.16103813982654652
GBR,CHN,2017,-0.04981366238905403
GBR,CHN,2018,0.12540602461053077
GBR,CHN,2019,0.1828136140320521
GBR,CHN,2020,0.003909191009112828
GBR,CHN,2021,0.084628173619072
GBR,CHN,2022,0.28114716427895076
GBR,CHN,2023,0.08216777548064944
GBR,DEU,2015,0.4743766123227636
GBR,DEU,2016,0.43541485490757187
GBR,DEU,2017,0.47830662399078644
GBR,DEU,2018,0.49049090001949375
GBR,DEU,2019,0.47378130891124437
GBR,DEU,2020,0.4139212339780114
GBR,DEU,2021,0.39878901222358454
GBR,DEU,2022,0.40612640173006376
GBR,DEU,2023,0.4092125071121868
GBR,MEX,2015,-1.6812055579865062
GBR,MEX,2016,-1.7592965255596609
GBR,MEX,2017,-1.6563024300852836
GBR,MEX,2018,-1.648205944724005
GBR,MEX,2019,-1.7229251639168757
GBR,MEX,2020,-1.8906266454429959
GBR,MEX,2021,-1.809595768939082
GBR,MEX,2022,-1.7270178142363075
GBR,MEX,2023,-1.6026533098134361
GBR,CAN,2015,-0.9299264398532683
GBR,CAN,2016,-0.8831141916142785
GBR,CAN,2017,-0.8842263077634233
GBR,CAN,2018,-0.776395996991213
GBR,CAN,2019,-0.8324768675328438
GBR,CAN,2020,-0.7187652425225644
GBR,CAN,2021,-0.6896218172921156
GBR,CAN,2022,-0.6809948799786313
GBR,CAN,2023,-0.6468315465759727
GBR,RUS,2015,-1.23771837362903
GBR,RUS,2016,-1.2786310733707549
GBR,RUS,2017,-1.2376083076685127
GBR,RUS,2018,-1.3113884251887051
GBR,RUS,2019,-1.2990630459632675
GBR,RUS,2020,-1.3390331233886057
GBR,RUS,2021,-1.1253449914757363
GBR,RUS,2022,-1.8237821614531662
GBR,RUS,2023,-2.080964536436068
GBR,USA,2015,0.7225137276164506
GBR,USA,2016,0.6659068816635272
GBR,USA,2017,0.6381906857871968
GBR,USA,2018,0.7127925838574908
GBR,USA,2019,0.7860482547967595
GBR,USA,2020,0.6595010107615047
GBR,USA,2021,0.737616425311235
GBR,USA,2022,0.7802046764225187
GBR,USA,2023,0.8123452997496027
GBR,JPN,2015,-0.8600025050482001
GBR,JPN,2016,-0.8657000905095265
GBR,JPN,2017,-0.7707295703747751
GBR,JPN,2018,-0.6837246892264175
GBR,JPN,2019,-0.6869386551581202
GBR,JPN,2020,-0.70158524784695
GBR,JPN,2021,-0.6172969711982176
GBR,JPN,2022,-0.6827202775556728
GBR,JPN,2023,-0.7254063646710822
FRA,CHN,2015,-0.09881260161706225
FRA,CHN,2016,-0.17908895826458238
FRA,CHN,2017,-0.049525083506175724
FRA,CHN,2018,0.042391666225803024
FRA,CHN,2019,0.013206395686436195
FRA,CHN,2020,-0.09043599762001439
FRA,CHN,2021,0.14310077160914508
FRA,CHN,2022,0.05380640687157992
FRA,CHN,2023,0.10937582972143879
FRA,DEU,2015,0.8446158335890306
FRA,DEU,2016,0.8431016120558763
FRA,DEU,2017,0.8304784799540483
FRA,DEU,2018,0.8802733161125074
FRA,DEU,2019,0.8367380056681338
FRA,DEU,2020,0.7630552148173338
FRA,DEU,2021,0.8719732552140872
FRA,DEU,2022,0.8822219271200434
FRA,DEU,2023,0.9110361283301189
FRA,MEX,2015,-1.2627710375662506
FRA,MEX,2016,-1.1624125105445478
FRA,MEX,2017,-1.1940252922742256
FRA,MEX,2018,-1.194986204344105
FRA,MEX,2019,-1.1655997523018555
FRA,MEX,2020,-1.3798117807242134
FRA,MEX,2021,-1.1920777960267788
FRA,MEX,2022,-1.2240061736543855
FRA,MEX,2023,-1.2048210212425663
FRA,CAN,2015,-1.2531717110511464
FRA,CAN,2016,-1.2954662620777875
FRA,CAN,2017,-1.2554050627964235
FRA,CAN,2018,-1.1827833229412246
FRA,CAN,2019,-1.1472492986058234
FRA,CAN,2020,-1.2591193874510793
FRA,CAN,2021,-1.1739373325748375
FRA,CAN,2022,-1.1346535317015023
FRA,CAN,2023,-1.1392972593192703
FRA,RUS,2015,-1.0285588471088132
FRA,RUS,2016,-0.9721888066909551
FRA,RUS,2017,-0.8732767429597742
FRA,RUS,2018,-0.8724922106010301
FRA,RUS,2019,-0.8773651796413257
FRA,RUS,2020,-0.9219723762524638
FRA,RUS,2021,-0.7502046294053075
FRA,RUS,2022,-1.3146271626321666
FRA,RUS,2023,-1.5860532104707947
FRA,USA,2015,0.3130342429350719
FRA,USA,2016,0.3131288264199703
FRA,USA,2017,0.35306574842703425
FRA,USA,2018,0.4635895960191793
FRA,USA,2019,0.490926660438148
FRA,USA,2020,0.32858627768441306
FRA,USA,2021,0.3992009298287239
FRA,USA,2022,0.5130585246099824
FRA,USA,2023,0.4901780992725819
FRA,JPN,2015,-0.802946403184299
FRA,JPN,2016,-0.8109794546890418
FRA,JPN,2017,-0.7849307015375563
FRA,JPN,2018,-0.726305910619124
FRA,JPN,2019,-0.6609677527978425
FRA,JPN,2020,-0.8527061930433665
FRA,JPN,2021,-0.7357717222366942
FRA,JPN,2022,-0.833883481161318
FRA,JPN,2023,-0.7838388215960248
IND,CHN,2015,-0.5854763101372225
IND,CHN,2016,-0.6394786478488825
IND,CHN,2017,-0.41205599160366896
IND,CHN,2018,-0.2294787946438946
IND,CHN,2019,-0.1943358723573075
IND,CHN,2020,-0.1325729898703405
IND,CHN,2021,0.0008253735694390326
IND,CHN,2022,-0.2832513451934133
IND,CHN,2023,-0.23489675053736853
IND,DEU,2015,-0.8022789959674655
IND,DEU,2016,-0.7889167042808621
IND,DEU,2017,-0.6950461106394542
IND,DEU,2018,-0.6375093073762584
IND,DEU,2019,-0.6684871896731741
IND,DEU,2020,-0.7448040299289226
IND,DEU,2021,-0.5979789297873979
IND,DEU,2022,-0.5338175609707853
IND,DEU,2023,-0.5868987616344872
IND,MEX,2015,-1.4331498487353522
IND,MEX,2016,-1.2992006537553886
IND,MEX,2017,-1.2370102848762308
IND,MEX,2018,-1.211793630413197
IND,MEX,2019,-1.2305173930785331
IND,MEX,2020,-1.3679478365377233
IND,MEX,2021,-1.1581537583732329
IND,MEX,2022,-1.041516590793431
IND,MEX,2023,-0.9960488194409711
IND,CAN,2015,-1.6226224690955589
IND,CAN,2016,-1.7155553686533314
IND,CAN,2017,-1.5530580359716875
IND,CAN,2018,-1.427196048169462
IND,CAN,2019,-1.4025319464838135
IND,CAN,2020,-1.4229102314119804
IND,CAN,2021,-1.2638890185703118
IND,CAN,2022,-1.1418889861221087
IND,CAN,2023,-1.2262399441033007
IND,RUS,2015,-1.7998126956475253
IND,RUS,2016,-1.7192655117203657
IND,RUS,2017,-1.6071374919452237
IND,RUS,2018,-1.5493975389760417
IND,RUS,2019,-1.4093517400498887
IND,RUS,2020,-1.4863248912557305
IND,RUS,2021,-1.3080219442463576
IND,RUS,2022,-1.3991173100428955
IND,RUS,2023,-1.16907128633388
IND,USA,2015,0.3807754214383137
IND,USA,2016,0.4062579503067621
IND,USA,2017,0.46958151086550093
IND,USA,2018,0.5465530419397494
IND,USA,2019,0.5799037317698976
IND,USA,2020,0.5160537325020528
IND,USA,2021,0.7665862206012651
IND,USA,2022,0.8458965514119374
IND,USA,2023,0.807081343691998
IND,JPN,2015,-1.0701205050161042
IND,JPN,2016,-1.2141517912572257
IND,JPN,2017,-1.1040049958784026
IND,JPN,2018,-1.0690270447462147
IND,JPN,2019,-1.058388677420443
IND,JPN,2020,-1.1774695622926812
IND,JPN,2021,-0.9016522803220587
IND,JPN,2022,-0.9437051202143215
IND,JPN,2023,-1.0224913877115083
